AÑO;IDNOREMP;CORRELA;IDOJ1;IDAIO;BRUTA;ARRIENDO;SERV_INT;PUBLICI;TRANSP;SERV_EXT;TOTAL_REM;VENTA;TOT_PERSO;INV_PRO;CTO
2014;987644;472;11;1986;;;;;;;;2805111;10;;
2014;987634;4711;11;2011;310041;25929;12747;8967;38728;26930;125991;3983752;11;786380;3673711
2014;987630;472;11;2004;;;;;;;;710373;11;;
2014;987622;472;11;1990;374640;10368;13848;1980;4596;48098;115358;3677559;11;355856.5;3302919
2014;987618;4711;11;1998;;;;;;;;2455223;12;;
2014;987615;4711;14;2012;;;;;;;;1872143;8;;
2014;987610;472;11;2003;331808;11200;32964;349;7313;9452;167617;3156630;14;106201;2824822
2014;987608;472;11;2008;298640;;128758;;49824;21432;270430;9139640;27;1203992;8841000
2014;987601;472;11;1999;;;;;;;;1850021;16;;
2014;987596;4711;14;1999;470475;13200;60790;14913;28383;27914;252420;6863028;20;552211;6392553
2014;987593;4711;11;2004;203241;;11077;6;16520;790;177944;7999477;12;987939;7796236
2014;987590;472;11;1999;357887;;4224;;;40699;246887;4953654;18;175410;4595767
2014;987587;4711;11;2006;242176;29040;38059;7937;29130;9408;78308;5686720;8;358601.5;5444544
2014;987577;4711;14;2009;291304;13692;42944;;15744;18722;134134;3091019;13;256414;2799715
2014;987566;4711;11;2010;293591;974;23761;2597;16590;18957;117146;5755365;11;311439;5461774
2014;987561;4711;11;2003;532800;24000;17940;3000;17280;2500;170878;4440000;18;153563;3907200
2014;987547;4711;2;1987;;;;;;;;2820000;11;;
2014;986636;472;11;2003;775554;27012;9030;;;99762;515845;2135875;34;;1360321
2014;986610;472;14;1999;914704;103079;76834;4459;125676;31878;395356;2822288;27;313297.5;1907584
2014;986577;4711;14;2009;4080359;136214;137756;18988;198763;122309;1010769;28473465;77;1817831;24393106
2014;986549;4711;4;2008;;;;;;;;16217243.4;;;
2014;986520;4711;5;2009;1401368;53790;29808;3400;577343;29774;2244865;17872354;139;884142.5;16470986
2014;986517;472;14;2012;1112361;204100;210107;166564;118333;210335;519934;5763529;47;610383.5;4651168
2014;986487;472;14;2013;;;;;;;;2213540;17;;
2014;986481;472;11;2004;985235;149254;56596;;;12074;389984;6135311;31;281452.5;5150076
2014;986475;472;11;2007;493712;44200;98520;;38400;;441829;4291500;28;1049304;3797788
2014;986435;472;14;2010;38330809;;;;;;17558242;323344755.7;1098;72241564.83;285013946.7
2014;986421;472;14;2012;1623175;120000;191416;58874;259520;155293;443658;5797373;30;70183;4174198
2014;986419;472;14;2012;794215;23897;179471;2458;83079;7858;525505;9289069;49;724843;8494854
2014;986403;4711;14;2011;3169345;152164;147946;45195;23408;57144;654861;7550997;36;2094187;4381652
2014;986398;472;14;2000;794475;64625;107440;21143;104555;111187;251394;13186748;23;455324;12392273
2014;986364;472;14;0;;;;;;;;16217243.4;;;
2014;986357;472;14;2012;1650878;;171555;28303;81725;101456;655735;12428516;41;512575;10777638
2014;986354;472;14;2012;640117;36114;7593;1450;6078;35;341965;11638931;14;509396;10998814
2014;986349;472;11;1991;1165267;;55565;1300;146739;13937;277300;12251560;27;307801;11086293
2014;986347;472;11;1996;1075511;;33866;;88161;10968;532504;15455308;50;634865;14379797
2014;986338;472;2;1994;339365;;66241;1200;4200;;247811;3244864;23;1361804;2905499
2014;986331;472;14;2011;537659;47000;9046;;400;12560;373536;4679218;35;153475;4141559
2014;986291;472;11;2000;3389779;525140;208030;;236110;37410;1355476;15439889;129;87492.5;12050110
